         58140714 function calls (58122759 primitive calls) in 162.026 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1096(get_framebuffer_size)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:1107(winfo_toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        1    0.000    0.000    0.005    0.005 __init__.py:116(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
     2716    0.008    0.000    0.008    0.000 __init__.py:1168(_sync_resize)
        3    0.000    0.000    0.000    0.000 __init__.py:1170(append)
     10/8    0.000    0.000    0.206    0.026 __init__.py:1178(update_idletasks)
        4    0.000    0.000    0.000    0.000 __init__.py:1189(get_backend)
       68    0.000    0.000    0.001    0.000 __init__.py:1195(_bind)
        1    0.000    0.000    0.000    0.000 __init__.py:120(XlibWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(_event_expose)
      537    0.000    0.000    0.001    0.000 __init__.py:1207(is_interactive)
       68    0.000    0.000    0.001    0.000 __init__.py:1212(bind)
        5    0.000    0.000    0.000    0.000 __init__.py:1215(_event_enternotify)
       34    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
        4    0.000    0.000    0.000    0.000 __init__.py:1235(_event_leavenotify)
        1    0.000    0.000    0.000    0.000 __init__.py:1239(<dictcomp>)
        2    0.000    0.000    0.119    0.060 __init__.py:124(<module>)
       41    0.001    0.000    0.004    0.000 __init__.py:1243(_event_configurenotify)
        4    0.000    0.000    0.000    0.000 __init__.py:1265(_event_focusin)
       34    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
      220    0.000    0.000    0.001    0.000 __init__.py:1268(is_math_text)
        5    0.000    0.000    0.000    0.000 __init__.py:1272(_event_focusout)
      422    0.001    0.000    0.002    0.000 __init__.py:1281(_to_unmasked_float_array)
        2    0.000    0.000    7.596    3.798 __init__.py:1281(mainloop)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        2    0.000    0.000    0.001    0.000 __init__.py:1292(_check_1d)
        1    0.000    0.000    0.039    0.039 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
     2716   37.080    0.014   37.239    0.014 __init__.py:1310(clear)
       68    0.000    0.000    0.001    0.000 __init__.py:1315(_options)
      144    0.001    0.000    0.003    0.000 __init__.py:1318(dispatch_event)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
       35    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
       36    0.000    0.000    0.004    0.000 __init__.py:1338(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
      186    0.003    0.000    0.004    0.000 __init__.py:1340(nametowidget)
      529    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
       86    0.000    0.000    0.001    0.000 __init__.py:1357(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:136(ContextException)
       70    0.001    0.000    0.008    0.000 __init__.py:1373(_preprocess_data)
      192    0.001    0.000    0.001    0.000 __init__.py:1379(_root)
      184    0.010    0.000    0.034    0.000 __init__.py:1388(_substitute)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
     2024    0.004    0.000    0.013    0.000 __init__.py:1394(getint_event)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:140(ConfigException)
        1    0.000    0.000    0.000    0.000 __init__.py:140(EventType)
        1    0.000    0.000    0.000    0.000 __init__.py:142(WindowException)
        1    0.000    0.000    0.000    0.000 __init__.py:145(_DType_reduce)
       12    0.000    0.000    0.026    0.002 __init__.py:1466(_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:147(NoSuchDisplayException)
       12    0.000    0.000    0.026    0.002 __init__.py:1478(configure)
        8    0.000    0.000    0.000    0.000 __init__.py:1491(__setitem__)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
        2    0.000    0.000    0.122    0.061 __init__.py:151(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:152(NoSuchConfigException)
        1    0.000    0.000    0.002    0.002 __init__.py:155(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:158(NoSuchScreenModeException)
       40    0.000    0.000    0.000    0.000 __init__.py:158(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        3    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
       96    0.000    0.000    0.000    0.000 __init__.py:1610(<lambda>)
      529    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
        2    0.000    0.000    0.001    0.001 __init__.py:1617(index_of)
        1    0.000    0.000    0.000    0.000 __init__.py:164(MouseCursorException)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
       24    0.000    0.000    0.000    0.000 __init__.py:1652(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:1665(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1674(sanitize_sequence)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
       30    0.000    0.000    0.000    0.000 __init__.py:168(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:1682(LoggerAdapter)
      340    0.002    0.000    0.004    0.000 __init__.py:1682(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:169(MouseCursor)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(CallWrapper)
       86    0.000    0.000    0.000    0.000 __init__.py:1695(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
  188/156    0.002    0.000    0.519    0.003 __init__.py:1700(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1712(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1733(YView)
      340    0.001    0.000    0.001    0.000 __init__.py:1742(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1754(FPSDisplay)
        1    0.000    0.000    0.000    0.000 __init__.py:1754(Wm)
      340    0.000    0.000    0.000    0.000 __init__.py:1756(<listcomp>)
      340    0.000    0.000    0.000    0.000 __init__.py:1761(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1769(wm_attributes)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        2    0.000    0.000    0.000    0.000 __init__.py:1815(wm_deiconify)
       24    0.000    0.000    0.000    0.000 __init__.py:1817(_topmost_artist)
        1    0.000    0.000    0.000    0.000 __init__.py:183(Event)
      779    0.000    0.000    0.001    0.000 __init__.py:1830(_str_equal)
      104    0.000    0.000    0.000    0.000 __init__.py:1841(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
       12    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
        4    0.000    0.000    0.000    0.000 __init__.py:186(_remove_proxy)
       36    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
       82    0.000    0.000    0.000    0.000 __init__.py:1873(make_alias)
        2    0.000    0.000    0.000    0.000 __init__.py:1887(wm_iconphoto)
        1    0.000    0.000    0.000    0.000 __init__.py:189(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
       12    0.000    0.000    0.000    0.000 __init__.py:1893(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1894(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:19(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:192(_read_environment)
       34    0.000    0.000    0.001    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:194(DefaultMouseCursor)
        2    0.000    0.000    0.000    0.000 __init__.py:1956(wm_protocol)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:1983(wm_title)
        1    0.000    0.000    0.000    0.000 __init__.py:199(ImageMouseCursor)
        2    0.000    0.000    0.000    0.000 __init__.py:199(disconnect)
        4    0.000    0.000    0.000    0.000 __init__.py:1992(wm_withdraw)
        1    0.000    0.000    0.000    0.000 __init__.py:1999(Tk)
        3    0.000    0.000    0.015    0.005 __init__.py:2(<module>)
        2    0.017    0.008    0.035    0.017 __init__.py:200(_create)
        2    0.000    0.000    0.110    0.055 __init__.py:2003(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:201(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:2033(_loadtk)
     1376    0.003    0.000    0.004    0.000 __init__.py:2045(_setattr_cm)
        1    0.000    0.000    0.000    0.000 __init__.py:2057(NullHandler)
        2    0.000    0.000    0.042    0.021 __init__.py:2058(destroy)
        2    0.000    0.000    0.001    0.000 __init__.py:2067(readprofile)
       14    0.000    0.000    0.000    0.000 __init__.py:2089(_warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:2111(_OrderedSet)
        2    0.000    0.000    0.000    0.000 __init__.py:2112(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:2118(__iter__)
       39    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.108    0.108 __init__.py:212(_create_shadow_window)
        1    0.000    0.000    0.000    0.000 __init__.py:2121(Pack)
       26    0.000    0.000    0.000    0.000 __init__.py:2125(pack_configure)
      175    0.003    0.000    0.033    0.000 __init__.py:213(process)
       10    0.000    0.000    0.000    0.000 __init__.py:216(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:2160(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
